Datum,Zeitzone,von,bis,Datenkategorie,Datentyp,Einheit,AEP-Schätzer,Status
01.01.2026,UTC,15:00,15:15,AEP-Schätzer,Betrieblich,EUR/MWh,50.4,0.0
01.01.2026,UTC,15:15,15:30,AEP-Schätzer,Betrieblich,EUR/MWh,51.05,0.0
01.01.2026,UTC,15:30,15:45,AEP-Schätzer,Betrieblich,EUR/MWh,64.59,0.0
01.01.2026,UTC,15:45,16:00,AEP-Schätzer,Betrieblich,EUR/MWh,32.54,0.0
01.01.2026,UTC,16:00,16:15,AEP-Schätzer,Betrieblich,EUR/MWh,35.78,0.0
01.01.2026,UTC,16:15,16:30,AEP-Schätzer,Betrieblich,EUR/MWh,47.9,0.0
01.01.2026,UTC,16:30,16:45,AEP-Schätzer,Betrieblich,EUR/MWh,37.08,0.0
01.01.2026,UTC,16:45,17:00,AEP-Schätzer,Betrieblich,EUR/MWh,49.32,0.0
01.01.2026,UTC,17:00,17:15,AEP-Schätzer,Betrieblich,EUR/MWh,74.88,0.0
01.01.2026,UTC,17:15,17:30,AEP-Schätzer,Betrieblich,EUR/MWh,88.49,0.0
01.01.2026,UTC,17:30,17:45,AEP-Schätzer,Betrieblich,EUR/MWh,105.8,0.0
01.01.2026,UTC,17:45,18:00,AEP-Schätzer,Betrieblich,EUR/MWh,95.8,0.0
01.01.2026,UTC,18:00,18:15,AEP-Schätzer,Betrieblich,EUR/MWh,96.56,0.0
01.01.2026,UTC,18:15,18:30,AEP-Schätzer,Betrieblich,EUR/MWh,38.73,0.0
01.01.2026,UTC,18:30,18:45,AEP-Schätzer,Betrieblich,EUR/MWh,36.43,0.0
01.01.2026,UTC,18:45,19:00,AEP-Schätzer,Betrieblich,EUR/MWh,55.93,0.0
01.01.2026,UTC,19:00,19:15,AEP-Schätzer,Betrieblich,EUR/MWh,69.33,0.0
01.01.2026,UTC,19:15,19:30,AEP-Schätzer,Betrieblich,EUR/MWh,48.04,0.0
01.01.2026,UTC,19:30,19:45,AEP-Schätzer,Betrieblich,EUR/MWh,29.18,0.0
01.01.2026,UTC,19:45,20:00,AEP-Schätzer,Betrieblich,EUR/MWh,29.44,0.0
01.01.2026,UTC,20:00,20:15,AEP-Schätzer,Betrieblich,EUR/MWh,134.28,0.0
01.01.2026,UTC,20:15,20:30,AEP-Schätzer,Betrieblich,EUR/MWh,108.19,0.0
01.01.2026,UTC,20:30,20:45,AEP-Schätzer,Betrieblich,EUR/MWh,106.48,0.0
