Datum,Zeitzone,von,bis,Datenkategorie,Datentyp,Einheit,Deutschland,AEP Knappheitskomponente,Mrl-Mol-Abweichung,Srl-Mol-Abweichung
01.01.2026,UTC,14:15,14:30,NRV-Saldo,Betrieblich,MW,1328.886,0.0,0.0,0.0
01.01.2026,UTC,14:30,14:45,NRV-Saldo,Betrieblich,MW,471.819,0.0,0.0,0.0
01.01.2026,UTC,14:45,15:00,NRV-Saldo,Betrieblich,MW,372.393,0.0,0.0,0.0
01.01.2026,UTC,15:00,15:15,NRV-Saldo,Betrieblich,MW,197.166,0.0,0.0,0.0
01.01.2026,UTC,15:15,15:30,NRV-Saldo,Betrieblich,MW,363.217,0.0,0.0,0.0
01.01.2026,UTC,15:30,15:45,NRV-Saldo,Betrieblich,MW,236.788,0.0,0.0,0.0
01.01.2026,UTC,15:45,16:00,NRV-Saldo,Betrieblich,MW,-129.063,0.0,0.0,0.0
01.01.2026,UTC,16:00,16:15,NRV-Saldo,Betrieblich,MW,116.551,0.0,0.0,0.0
01.01.2026,UTC,16:15,16:30,NRV-Saldo,Betrieblich,MW,99.909,0.0,0.0,0.0
01.01.2026,UTC,16:30,16:45,NRV-Saldo,Betrieblich,MW,651.449,0.0,0.0,0.0
01.01.2026,UTC,16:45,17:00,NRV-Saldo,Betrieblich,MW,1146.665,0.0,0.0,0.0
01.01.2026,UTC,17:00,17:15,NRV-Saldo,Betrieblich,MW,1203.828,0.0,0.0,0.0
01.01.2026,UTC,17:15,17:30,NRV-Saldo,Betrieblich,MW,1076.849,0.0,0.0,0.0
01.01.2026,UTC,17:30,17:45,NRV-Saldo,Betrieblich,MW,811.432,0.0,0.0,0.0
01.01.2026,UTC,17:45,18:00,NRV-Saldo,Betrieblich,MW,650.161,0.0,0.0,0.0
01.01.2026,UTC,18:00,18:15,NRV-Saldo,Betrieblich,MW,483.153,0.0,0.0,0.0
01.01.2026,UTC,18:15,18:30,NRV-Saldo,Betrieblich,MW,-190.587,0.0,0.0,0.0
01.01.2026,UTC,18:30,18:45,NRV-Saldo,Betrieblich,MW,-61.652,0.0,0.0,0.0
01.01.2026,UTC,18:45,19:00,NRV-Saldo,Betrieblich,MW,151.385,0.0,0.0,0.0
01.01.2026,UTC,19:00,19:15,NRV-Saldo,Betrieblich,MW,75.093,0.0,0.0,0.0
01.01.2026,UTC,19:15,19:30,NRV-Saldo,Betrieblich,MW,-111.173,0.0,0.0,0.0
01.01.2026,UTC,19:30,19:45,NRV-Saldo,Betrieblich,MW,-459.683,0.0,0.0,0.0
01.01.2026,UTC,19:45,20:00,NRV-Saldo,Betrieblich,MW,-18.559,0.0,0.0,0.0
01.01.2026,UTC,20:00,20:15,NRV-Saldo,Betrieblich,MW,1110.139,0.0,0.0,0.0
01.01.2026,UTC,20:15,20:30,NRV-Saldo,Betrieblich,MW,608.899,0.0,0.0,0.0
01.01.2026,UTC,20:30,20:45,NRV-Saldo,Betrieblich,MW,716.669,0.0,0.0,0.0
01.01.2026,UTC,20:45,21:00,NRV-Saldo,Betrieblich,MW,693.971,0.0,0.0,0.0
01.01.2026,UTC,21:00,21:15,NRV-Saldo,Betrieblich,MW,535.094,0.0,0.0,0.0
01.01.2026,UTC,21:15,21:30,NRV-Saldo,Betrieblich,MW,160.686,0.0,0.0,0.0
01.01.2026,UTC,21:30,21:45,NRV-Saldo,Betrieblich,MW,14.161,0.0,0.0,0.0
01.01.2026,UTC,21:45,22:00,NRV-Saldo,Betrieblich,MW,-142.183,0.0,0.0,0.0
01.01.2026,UTC,22:00,22:15,NRV-Saldo,Betrieblich,MW,726.565,0.0,0.0,0.0
01.01.2026,UTC,22:15,22:30,NRV-Saldo,Betrieblich,MW,533.413,0.0,0.0,0.0
01.01.2026,UTC,22:30,22:45,NRV-Saldo,Betrieblich,MW,551.546,0.0,0.0,0.0
01.01.2026,UTC,22:45,23:00,NRV-Saldo,Betrieblich,MW,57.079,0.0,0.0,0.0
01.01.2026,UTC,23:00,23:15,NRV-Saldo,Betrieblich,MW,1207.729,0.0,0.0,0.0
01.01.2026,UTC,23:15,23:30,NRV-Saldo,Betrieblich,MW,768.007,0.0,0.0,0.0
01.01.2026,UTC,23:30,23:45,NRV-Saldo,Betrieblich,MW,512.96,0.0,0.0,0.0
01.01.2026,UTC,23:45,00:00,NRV-Saldo,Betrieblich,MW,-99.616,0.0,0.0,0.0
02.01.2026,UTC,00:00,00:15,NRV-Saldo,Betrieblich,MW,-47.326,0.0,0.0,0.0
02.01.2026,UTC,00:15,00:30,NRV-Saldo,Betrieblich,MW,15.611,0.0,0.0,0.0
02.01.2026,UTC,00:30,00:45,NRV-Saldo,Betrieblich,MW,62.14,0.0,0.0,0.0
02.01.2026,UTC,00:45,01:00,NRV-Saldo,Betrieblich,MW,318.388,0.0,0.0,0.0
02.01.2026,UTC,01:00,01:15,NRV-Saldo,Betrieblich,MW,133.528,0.0,0.0,0.0
02.01.2026,UTC,01:15,01:30,NRV-Saldo,Betrieblich,MW,-98.845,0.0,0.0,0.0
02.01.2026,UTC,01:30,01:45,NRV-Saldo,Betrieblich,MW,-117.953,0.0,0.0,0.0
02.01.2026,UTC,01:45,02:00,NRV-Saldo,Betrieblich,MW,28.491,0.0,0.0,0.0
02.01.2026,UTC,02:00,02:15,NRV-Saldo,Betrieblich,MW,645.662,0.0,0.0,0.0
02.01.2026,UTC,02:15,02:30,NRV-Saldo,Betrieblich,MW,265.087,0.0,0.0,0.0
02.01.2026,UTC,02:30,02:45,NRV-Saldo,Betrieblich,MW,374.553,0.0,0.0,0.0
02.01.2026,UTC,02:45,03:00,NRV-Saldo,Betrieblich,MW,340.782,0.0,0.0,0.0
02.01.2026,UTC,03:00,03:15,NRV-Saldo,Betrieblich,MW,322.75,0.0,0.0,0.0
02.01.2026,UTC,03:15,03:30,NRV-Saldo,Betrieblich,MW,1032.985,0.0,0.0,0.0
02.01.2026,UTC,03:30,03:45,NRV-Saldo,Betrieblich,MW,1163.617,0.0,0.0,0.0
02.01.2026,UTC,03:45,04:00,NRV-Saldo,Betrieblich,MW,870.861,0.0,0.0,0.0
02.01.2026,UTC,04:00,04:15,NRV-Saldo,Betrieblich,MW,909.157,0.0,0.0,0.0
02.01.2026,UTC,04:15,04:30,NRV-Saldo,Betrieblich,MW,515.209,0.0,0.0,0.0
02.01.2026,UTC,04:30,04:45,NRV-Saldo,Betrieblich,MW,524.947,0.0,0.0,0.0
02.01.2026,UTC,04:45,05:00,NRV-Saldo,Betrieblich,MW,541.801,0.0,0.0,0.0
02.01.2026,UTC,05:00,05:15,NRV-Saldo,Betrieblich,MW,103.273,0.0,0.0,0.0
02.01.2026,UTC,05:15,05:30,NRV-Saldo,Betrieblich,MW,-693.338,0.0,0.0,0.0
02.01.2026,UTC,05:30,05:45,NRV-Saldo,Betrieblich,MW,-953.84,0.0,0.0,0.0
02.01.2026,UTC,05:45,06:00,NRV-Saldo,Betrieblich,MW,-1139.844,0.0,0.0,0.0
02.01.2026,UTC,06:00,06:15,NRV-Saldo,Betrieblich,MW,222.854,0.0,0.0,0.0
02.01.2026,UTC,06:15,06:30,NRV-Saldo,Betrieblich,MW,202.583,0.0,0.0,0.0
02.01.2026,UTC,06:30,06:45,NRV-Saldo,Betrieblich,MW,-150.523,0.0,0.0,0.0
02.01.2026,UTC,06:45,07:00,NRV-Saldo,Betrieblich,MW,-647.813,0.0,0.0,0.0
02.01.2026,UTC,07:00,07:15,NRV-Saldo,Betrieblich,MW,-381.925,0.0,0.0,0.0
02.01.2026,UTC,07:15,07:30,NRV-Saldo,Betrieblich,MW,-368.866,0.0,0.0,0.0
02.01.2026,UTC,07:30,07:45,NRV-Saldo,Betrieblich,MW,507.412,0.0,0.0,0.0
02.01.2026,UTC,07:45,08:00,NRV-Saldo,Betrieblich,MW,893.822,0.0,0.0,0.0
02.01.2026,UTC,08:00,08:15,NRV-Saldo,Betrieblich,MW,554.882,0.0,0.0,0.0
02.01.2026,UTC,08:15,08:30,NRV-Saldo,Betrieblich,MW,427.832,0.0,0.0,0.0
02.01.2026,UTC,08:30,08:45,NRV-Saldo,Betrieblich,MW,-72.601,0.0,0.0,0.0
02.01.2026,UTC,08:45,09:00,NRV-Saldo,Betrieblich,MW,-378.862,0.0,0.0,0.0
02.01.2026,UTC,09:00,09:15,NRV-Saldo,Betrieblich,MW,345.426,0.0,0.0,0.0
02.01.2026,UTC,09:15,09:30,NRV-Saldo,Betrieblich,MW,455.708,0.0,0.0,0.0
02.01.2026,UTC,09:30,09:45,NRV-Saldo,Betrieblich,MW,900.025,0.0,0.0,0.0
02.01.2026,UTC,09:45,10:00,NRV-Saldo,Betrieblich,MW,424.841,0.0,0.0,0.0
02.01.2026,UTC,10:00,10:15,NRV-Saldo,Betrieblich,MW,-124.651,0.0,0.0,0.0
02.01.2026,UTC,10:15,10:30,NRV-Saldo,Betrieblich,MW,642.124,0.0,0.0,0.0
02.01.2026,UTC,10:30,10:45,NRV-Saldo,Betrieblich,MW,578.979,0.0,0.0,0.0
02.01.2026,UTC,10:45,11:00,NRV-Saldo,Betrieblich,MW,-428.112,0.0,0.0,0.0
02.01.2026,UTC,11:00,11:15,NRV-Saldo,Betrieblich,MW,-733.152,0.0,0.0,0.0
02.01.2026,UTC,11:15,11:30,NRV-Saldo,Betrieblich,MW,-502.893,0.0,0.0,0.0
02.01.2026,UTC,11:30,11:45,NRV-Saldo,Betrieblich,MW,-283.241,0.0,0.0,0.0
02.01.2026,UTC,11:45,12:00,NRV-Saldo,Betrieblich,MW,-148.367,0.0,0.0,0.0
02.01.2026,UTC,12:00,12:15,NRV-Saldo,Betrieblich,MW,-53.616,0.0,0.0,0.0
02.01.2026,UTC,12:15,12:30,NRV-Saldo,Betrieblich,MW,-445.617,0.0,0.0,0.0
02.01.2026,UTC,12:30,12:45,NRV-Saldo,Betrieblich,MW,-49.442,0.0,0.0,0.0
02.01.2026,UTC,12:45,13:00,NRV-Saldo,Betrieblich,MW,2.366,0.0,0.0,0.0
02.01.2026,UTC,13:00,13:15,NRV-Saldo,Betrieblich,MW,627.606,0.0,0.0,0.0
02.01.2026,UTC,13:15,13:30,NRV-Saldo,Betrieblich,MW,452.746,0.0,0.0,0.0
02.01.2026,UTC,13:30,13:45,NRV-Saldo,Betrieblich,MW,332.723,0.0,0.0,0.0
02.01.2026,UTC,13:45,14:00,NRV-Saldo,Betrieblich,MW,465.568,0.0,0.0,0.0
02.01.2026,UTC,14:00,14:15,NRV-Saldo,Betrieblich,MW,1240.702,0.0,0.0,0.0
02.01.2026,UTC,14:15,14:30,NRV-Saldo,Betrieblich,MW,808.26,0.0,0.0,0.0
02.01.2026,UTC,14:30,14:45,NRV-Saldo,Betrieblich,MW,672.245,0.0,0.0,0.0
02.01.2026,UTC,14:45,15:00,NRV-Saldo,Betrieblich,MW,706.23,0.0,0.0,0.0
02.01.2026,UTC,15:00,15:15,NRV-Saldo,Betrieblich,MW,411.909,0.0,0.0,0.0
02.01.2026,UTC,15:15,15:30,NRV-Saldo,Betrieblich,MW,-61.997,0.0,0.0,0.0
02.01.2026,UTC,15:30,15:45,NRV-Saldo,Betrieblich,MW,-681.335,0.0,0.0,0.0
02.01.2026,UTC,15:45,16:00,NRV-Saldo,Betrieblich,MW,-801.777,0.0,0.0,0.0
02.01.2026,UTC,16:00,16:15,NRV-Saldo,Betrieblich,MW,-251.614,0.0,0.0,0.0
02.01.2026,UTC,16:15,16:30,NRV-Saldo,Betrieblich,MW,142.185,0.0,0.0,0.0
02.01.2026,UTC,16:30,16:45,NRV-Saldo,Betrieblich,MW,231.908,0.0,0.0,0.0
02.01.2026,UTC,16:45,17:00,NRV-Saldo,Betrieblich,MW,-83.265,0.0,0.0,0.0
02.01.2026,UTC,17:00,17:15,NRV-Saldo,Betrieblich,MW,-51.192,0.0,0.0,0.0
02.01.2026,UTC,17:15,17:30,NRV-Saldo,Betrieblich,MW,-234.533,0.0,0.0,0.0
02.01.2026,UTC,17:30,17:45,NRV-Saldo,Betrieblich,MW,-309.206,0.0,0.0,0.0
02.01.2026,UTC,17:45,18:00,NRV-Saldo,Betrieblich,MW,-223.82,0.0,0.0,0.0
02.01.2026,UTC,18:00,18:15,NRV-Saldo,Betrieblich,MW,708.495,0.0,0.0,0.0
02.01.2026,UTC,18:15,18:30,NRV-Saldo,Betrieblich,MW,734.799,0.0,0.0,0.0
02.01.2026,UTC,18:30,18:45,NRV-Saldo,Betrieblich,MW,422.539,0.0,0.0,0.0
02.01.2026,UTC,18:45,19:00,NRV-Saldo,Betrieblich,MW,157.083,0.0,0.0,0.0
02.01.2026,UTC,19:00,19:15,NRV-Saldo,Betrieblich,MW,39.105,0.0,0.0,0.0
02.01.2026,UTC,19:15,19:30,NRV-Saldo,Betrieblich,MW,72.824,0.0,0.0,0.0
02.01.2026,UTC,19:30,19:45,NRV-Saldo,Betrieblich,MW,21.448,0.0,0.0,0.0
02.01.2026,UTC,19:45,20:00,NRV-Saldo,Betrieblich,MW,107.726,0.0,0.0,0.0
02.01.2026,UTC,20:00,20:15,NRV-Saldo,Betrieblich,MW,109.867,0.0,0.0,0.0
02.01.2026,UTC,20:15,20:30,NRV-Saldo,Betrieblich,MW,638.063,0.0,0.0,0.0
02.01.2026,UTC,20:30,20:45,NRV-Saldo,Betrieblich,MW,493.239,0.0,0.0,0.0
02.01.2026,UTC,20:45,21:00,NRV-Saldo,Betrieblich,MW,368.636,0.0,0.0,0.0
02.01.2026,UTC,21:00,21:15,NRV-Saldo,Betrieblich,MW,561.254,0.0,0.0,0.0
02.01.2026,UTC,21:15,21:30,NRV-Saldo,Betrieblich,MW,364.207,0.0,0.0,0.0
02.01.2026,UTC,21:30,21:45,NRV-Saldo,Betrieblich,MW,647.586,0.0,0.0,0.0
02.01.2026,UTC,21:45,22:00,NRV-Saldo,Betrieblich,MW,355.815,0.0,0.0,0.0
02.01.2026,UTC,22:00,22:15,NRV-Saldo,Betrieblich,MW,25.188,0.0,0.0,0.0
02.01.2026,UTC,22:15,22:30,NRV-Saldo,Betrieblich,MW,-264.383,0.0,0.0,0.0
02.01.2026,UTC,22:30,22:45,NRV-Saldo,Betrieblich,MW,239.512,0.0,0.0,0.0
02.01.2026,UTC,22:45,23:00,NRV-Saldo,Betrieblich,MW,629.364,0.0,0.0,0.0
02.01.2026,UTC,23:00,23:15,NRV-Saldo,Betrieblich,MW,-630.968,0.0,0.0,0.0
02.01.2026,UTC,23:15,23:30,NRV-Saldo,Betrieblich,MW,-774.704,0.0,0.0,0.0
02.01.2026,UTC,23:30,23:45,NRV-Saldo,Betrieblich,MW,-1098.61,0.0,0.0,0.0
02.01.2026,UTC,23:45,00:00,NRV-Saldo,Betrieblich,MW,-817.662,0.0,0.0,0.0
03.01.2026,UTC,00:00,00:15,NRV-Saldo,Betrieblich,MW,-188.858,0.0,0.0,0.0
03.01.2026,UTC,00:15,00:30,NRV-Saldo,Betrieblich,MW,571.054,0.0,0.0,0.0
03.01.2026,UTC,00:30,00:45,NRV-Saldo,Betrieblich,MW,-321.781,0.0,0.0,0.0
